intersection,lon,lat
ALBERMARLE ROAD and MCDONALD AVENUE,-73.979881,40.64511
ELMWOOD AVENUE and MCDONALD AVENUE,-73.97645,40.627007
B AVENUE and RALPH AVENUE,-73.920184,40.64703
BEVERLEY ROAD and EAST 34 STREET,-73.9451,40.645373
12 AVENUE and 69 STREET,-74.006095,40.625033
12 AVENUE and TABOR COURT,-74.002226,40.62875
13 AVENUE and 75 STREET,-74.007427,40.620304
14 AVENUE and POLY PLACE,-74.01702,40.607655
78 STREET and FORT HAMILTON PARKWAY,-74.01875,40.624318
ALBERMARLE ROAD and EAST 18 STREET,-73.962612,40.647007
EAST 15 STREET and FOSTER AVENUE,-73.963102,40.634047
SAINT PAUL PLACE and WOODRUFF AVENUE,-73.963813,40.653263
BROOKLYN AVENUE and WINTHROP AVENUE,-73.945094,40.657431
MCKEEVER PLACE and SULLIVAN PLACE,-73.959344,40.664175
BERGAN STREET and BOYLAND STREET,-73.913918,40.67413
BOYLAND STREET and MCDOUGAL STREET,-73.913882,40.679935
CHRISTOPHER AVENUE and EAST NY AVENUE,-73.906957,40.673984
LOTT AVENUE and THOMAS BOYLAND STREET,-73.910548,40.657524
MACDOUGAL STREET and THOMAS BOYLAND STREET,-73.913882,40.679935
SARATOGA AVENUE and ST JOHNS PLACE,-73.91711,40.66982
ATLANTIC AVENUE and ELDERTS LANE,-73.866302,40.683186
AUTUMN AVENUE and CONDUIT BOULEVARD,-73.868381,40.67653
CYPRESS HILL STREET and JAMAICA AVENUE,-73.875706,40.688563
DEWITT AVENUE and HINSDALE STREET,-73.896649,40.656118
DOSHER STREET and SUTTER AVENUE,-73.872041,40.672754
DUMONT AVENUE and VAN SIDERIN AVENUE,-73.900852,40.665344
EAST NY AVENUE and JAMAICA AVENUE,-73.900045,40.676894
ELDERT LANE and FULTON STREET,-73.866597,40.68527
ELDERTS LANE and FULTON STREET,-73.866597,40.68527
ELDERTS LANE and KARWEG PLACE,-73.867281,40.687749
JAMAICA AVENUE and SCHENCK COURT,-73.89082,40.681293
JAMAICA AVENUE and VANSICLEN AVENUE,-73.892328,40.680567
LINDEN BOULEVARD and SAPPHIRE STREET,-73.857266,40.670256
PITKIN AVENUE and VAN SIDERIN AVENUE,-73.902289,40.670937
BUSH STREET and COLUMBIA STREET,-74.007419,40.67523
DELAVAN STREET and RICHARDS STREET,-74.007686,40.679506
LINCOLN PLACE and SCHNECTADY AVENUE,-73.933797,40.669891
PROSPECT PLACE and SCHNECTADY AVENUE,-73.933469,40.673407
5 AVENUE and BERGAN STREET,-73.977022,40.681486
ATLANTIC AVENUE and FT GREEN PLACE,-73.975954,40.683475
BUTLER STREET and QUISENBURY DRIVE,-73.979561,40.679288
DEKALB AVENUE and GARVEY BOULEVARD,-73.93997,40.692682
ELLERY STREET and GARVEY BOULEVARD,-73.941309,40.699292
MARCUS GARVEY BOULEVARD and MCDONOUGH STREET,-73.937787,40.681693
MLK PLACE and TOMPKINS AVENUE,-73.946637,40.697178
MACDONOUGH STREET and MALCOLM X BOULEVARD,-73.929007,40.682701
MCDONOUGH STREET and PATCHEN AVENUE,-73.926093,40.683037
BLEECKER STREET and CYPRESS AVENUE,-73.912549,40.703874
CENTRAL AVENUE and COOPER AVENUE,-73.907237,40.68789
COVERT STREET and IRVING AVENUE,-73.905043,40.693704
CYPRESS AVENUE and DEKALB AVENUE,-73.916996,40.706501
CYPRESS AVENUE and HIMROD STREET,-73.914769,40.70519
CYPRESS AVENUE and JEFFERSON STREET,-73.921433,40.709128
CYPRESS AVENUE and MENAHAN STREET,-73.911806,40.703434
CYPRESS AVENUE and STANHOPE STREET,-73.915511,40.705627
CYPRESS AVENUE and STARR STREET,-73.919959,40.708257
DECATUR STREET and IRVING AVENUE,-73.903541,40.692849
ELDERT STREET and WYCKOFF AVENUE,-73.904258,40.695699
GATES AVENUE and WYCKOFF AVENUE,-73.911807,40.699937
GROVE STREET and SAINT NICHOLAS AVENUE,-73.912162,40.701922
HALSEY STREET and WYCKOFF AVENUE,-73.905004,40.696119
IRVING AVENUE and SCHAEFER STREET,-73.904287,40.693278
LINDEN STREET and SAINT NICHOLAS AVENUE,-73.911423,40.701485
MENAHAN STREET and SAINT NICHOLAS AVENUE,-73.912904,40.702362
PUTNAM AVENUE and WYCKOFF AVENUE,-73.908773,40.698255
WEIRFIELD STREET and WYCKOFF AVENUE,-73.905764,40.696548
ATLANTIC AVENUE and BQE,-73.999203,40.691572
BQE and MANHATTAN AVENUE,-73.946753,40.71861
CADMAN PLAZA WEST and FURMAN STREET,-73.994709,40.702993
GOLD STREET and SAND STREET,-73.98293,40.699772
PACIFIC STREET and THIRD AVENUE,-73.981131,40.684687
SCHERMERHORN STREET and THIRD AVENUE,-73.979811,40.686646
ASSEMBLY ROAD and MARKET STREET,-73.968696,40.699465
ATLANTIC COMMONS and SOUTH OXFORD STREET,-73.973026,40.684144
AUBURN PLACE and SAINT EDWARDS STREET,-73.977984,40.694257
DEKALB AVENUE and SAINT JAMES PLACE,-73.965188,40.689783
ANTHONY STREET and VANDEVOORT AVENUE,-73.937409,40.723276
BQE and METROPOLITAN AVENUE,-73.953163,40.714064
FLUSHING AVENUE and SENECA AVENUE,-73.920746,40.71053
HEWES STREET and WILLIAMSBURG STREET EAST,-73.960609,40.701655
MANHATTAN AVENUE and MCKIBBIN STREET,-73.944568,40.705019
MASPETH AVENUE and NEWTOWN CREEK SHORELINE,-73.924674,40.719884
SOUTH 2 STREET and WHYTE AVENUE,-73.965143,40.714288
WHYTE AVENUE and WILLIAMSBURG STREET EAST,-73.960862,40.701131
WHYTE AVENUE and WILSON STREET,-73.965058,40.703688
WILLIAMSBURGH ST WEST and WYTHE AVENUE,-73.961453,40.701661
BQE and KOSCIUSKO BRIDGE,-73.933136,40.725368
BQE and LORIMER STREET,-73.949792,40.71669
BQE and MANHATTAN AVENUE,-73.946753,40.71861
BQE and VANDERVOORT AVENUE,-73.937636,40.7241
HUMBOLT STREET and METROPOLITAN AVENUE,-73.942688,40.714691
JAVA STREET and MC GUINESS BOULEVARD,-73.951895,40.731861
DYER AVENUE and LINCOLN TUNNEL APPROACH,-73.996719,40.755141
WEST 17 STREET and WEST SIDE HIGHWAY,-74.008347,40.744702
WEST 18 STREET and WEST SIDE HIGHWAY,-74.008199,40.745416
WEST 19 STREET and WEST SIDE HIGHWAY,-74.008084,40.74611
WEST 20 STREET and WEST SIDE HIGHWAY,-74.007957,40.746813
WEST 21 STREET and WEST SIDE HIGHWAY,-74.007828,40.747535
WEST 23 STREET and WEST SIDE HIGHWAY,-74.008062,40.749302
WEST 24 STREET and WEST SIDE HIGHWAY,-74.008366,40.750307
WEST 26 STREET and WEST SIDE HIGHWAY,-74.007925,40.751751
WEST 29 STREET and WEST SIDE HIGHWAY,-74.007139,40.753831
WEST 30 STREET and WEST SIDE HIGHWAY,-74.006738,40.75449
WEST 33 STREET and WEST SIDE HIGHWAY,-74.005403,40.756351
WEST 34 STREET and WEST SIDE HIGHWAY,-74.004927,40.757021
WEST 39 STREET and WEST SIDE HIGHWAY,-74.002638,40.760158
WEST 40 STREET and WEST SIDE HIGHWAY,-74.002183,40.760776
WEST 41 STREET and WEST SIDE HIGHWAY,-74.001736,40.761391
WEST 42 STREET and WEST SIDE HIGHWAY,-74.001151,40.762025
WEST 43 STREET and WEST SIDE HIGHWAY,-74.000386,40.762582
AVENUE C and COOPER ROAD,-73.974821,40.734218
AVENUE OF AMERICAS and WEST 21 STREET,-73.993735,40.741623
AVENUE OF AMERICAS and WEST 29 STREET,-73.990068,40.746659
C AVENUE and EAST 20 STREET,-73.97441,40.732593
EAST 44 STREET and THIRD AVENUE,-73.973504,40.752064
EAST 57 STREET and QUEENSBORO BRIDGE APPROACH,-73.964502,40.758975
EAST 58 STREET and QUEENSBORO BRIDGE APPROACH,-73.964004,40.759648
WEST 43 STREET and WEST SIDE HIGHWAY,-74.000386,40.762582
WEST 44 STREET and WEST SIDE HIGHWAY,-73.999649,40.763114
WEST 45 STREET and WEST SIDE HIGHWAY,-73.999047,40.763655
WEST 46 STREET and WEST SIDE HIGHWAY,-73.998581,40.764281
WEST 47 STREET and WEST SIDE HIGHWAY,-73.998137,40.764904
WEST 48 STREET and WEST SIDE HIGHWAY,-73.997671,40.76553
WEST 49 STREET and WEST SIDE HIGHWAY,-73.997234,40.766144
WEST 50 STREET and WEST SIDE HIGHWAY,-73.996761,40.766778
WEST 51 STREET and WEST SIDE HIGHWAY,-73.996328,40.767396
WEST 52 STREET and WEST SIDE HIGHWAY,-73.995848,40.768033
WEST 54 STREET and WEST SIDE HIGHWAY,-73.994938,40.769295
WEST 55 STREET and WEST SIDE HIGHWAY,-73.994646,40.769981
WEST 56 STREET and WEST SIDE HIGHWAY,-73.994548,40.770742
WEST 57 STREET and WEST SIDE HIGHWAY,-73.994346,40.771464
WEST 58 STREET and WEST SIDE HIGHWAY,-73.993873,40.772238
WEST 59 STREET and WEST SIDE HIGHWAY,-73.993411,40.772877
ALBANY STREET and WEST SIDE HIGHWAY,-74.014824,40.709824
AVENUE OF THE AMERICAS and VAN DAM STREET,-74.00373,40.726249
BATTERY PLACE and FIRST PLACE,-74.017929,40.706176
HUDSON STREET and VAN DAM STREET,-74.007432,40.726601
MURRAY STREET and WEST SIDE HIGHWAY,-74.01335,40.715234
SIXTH AVENUE and WATTS STREET,-74.004787,40.723625
WEST 56 STREET and WEST SIDE HIGHWAY,-73.994548,40.770742
WEST 59 STREET and WEST SIDE HIGHWAY,-73.993411,40.772877
EAST 106 STREET and SECOND AVENUE,-73.942434,40.790624
EAST 97 STREET and FDR DRIVE,-73.943517,40.783631
COLUMBUS AVENUE and WEST 103 STREET,-73.964287,40.797305
EAST 126 STREET and THIRD AVENUE,-73.935325,40.804369
CONVENT AVENUE and SAINT NICHOLAS TERRACE,-73.948539,40.821486
HANCOCK PLACE and MANHATTAN AVENUE,-73.953277,40.809881
FREDERICK DOUGLAS BOULEVARD and WEST 111 STREET,-73.957697,40.801231
FREDERICK DOUGLAS BOULEVARD and WEST 114 STREET,-73.956319,40.803116
EDGECOMB AVENUE and WEST 145 STREET,-73.943844,40.823647
SAINT NICHOLAS AVENUE and WEST 154 STREET,-73.941667,40.830159
BROADWAY and SAINT NICHOLAS AVENUE,-73.939333,40.84168
PEARL STREET and ROBERT F WAGNER SENIOR PLACE,-74.001136,40.710176
AVENUE OF AMERICAS and WAVERLY PLACE,-74.000064,40.732928
AVENUE OF AMERICAS and WEST 9 STREET,-73.999184,40.734138
BANK STREET and WEST SIDE HIGHWAY,-74.010035,40.736001
EAST 9 STREET and FIFTH AVENUE,-73.995915,40.732848
MACDOUGAL STREET and WAVERLY PLACE,-73.99861,40.732214
WEST 14 STREET and WEST SIDE HIGHWAY,-74.00879,40.742375
DICKSTEIN PLAZA and GRAND STREET,-73.984257,40.715209
BLEEKER STREET and MOTT STREET,-73.993758,40.725646
97 STREET TRANSVERSE and EAST DRIVE,-73.957393,40.789475
85 STREET TRANSVERSE and CPW,-73.969334,40.785293
AVENUE OF AMERICAS and WEST 55 STREET,-73.978138,40.763024
WEST 43 STREET and WEST SIDE HIGHWAY,-74.000386,40.762582
WEST 44 STREET and WEST SIDE HIGHWAY,-73.999649,40.763114
WEST 45 STREET and WEST SIDE HIGHWAY,-73.999047,40.763655
WEST 46 STREET and WEST SIDE HIGHWAY,-73.998581,40.764281
WEST 47 STREET and WEST SIDE HIGHWAY,-73.998137,40.764904
WEST 48 STREET and WEST SIDE HIGHWAY,-73.997671,40.76553
WEST 49 STREET and WEST SIDE HIGHWAY,-73.997234,40.766144
WEST 50 STREET and WEST SIDE HIGHWAY,-73.996761,40.766778
WEST 51 STREET and WEST SIDE HIGHWAY,-73.996328,40.767396
WEST 52 STREET and WEST SIDE HIGHWAY,-73.995848,40.768033
WEST 54 STREET and WEST SIDE HIGHWAY,-73.994938,40.769295
WEST 55 STREET and WEST SIDE HIGHWAY,-73.994646,40.769981
WEST 56 STREET and WEST SIDE HIGHWAY,-73.994548,40.770742
WEST 57 STREET and WEST SIDE HIGHWAY,-73.994346,40.771464
WEST 59 STREET and WEST SIDE HIGHWAY,-73.993411,40.772877
AVENUE OF AMERICAS and WEST 42 STREET,-73.984118,40.75484
17 ROAD and CROSSBAY BOULEVARD,-73.820369,40.600945
B 122 STREET and ROCKAWAY BEACH BOULEVARD,-73.842224,40.578132
BEACH 221 STREET and BREEZY POINT BOULEVARD,-73.928798,40.554387
BEACH 98 STREET and SHOREFRONT PARKWAY,-73.818549,40.582955
CROSSBAY BOULEVARD and WEST 6 ROAD,-73.819035,40.609707
OCEANSIDE AVENUE and POINT BREEZE AVENUE,-73.920293,40.558507
BEACH 32 STREET and FALCON AVENUE,-73.767083,40.600001
101 AVENUE and DREW STREET,-73.86335,40.679351
107 STREET and PARK LA SOUTH,-73.842937,40.700553
108 STREET and PARK LA SOUTH,-73.842157,40.700903
82 AVENUE and BEVERLY ROAD,-73.834052,40.710026
87 AVENUE and ELDERT LANE,-73.86791,40.690475
90 AVENUE and ELDERTS LANE,-73.867016,40.686829
90 STREET and PARK LA SOUTH,-73.855675,40.69718
95 AVENUE and DREW STREET,-73.864101,40.682371
95 AVENUE and ELDERT LANE,-73.866027,40.681918
95 AVENUE and ELDERTS LANE,-73.866027,40.681918
95 AVENUE and FORBELL STREET,-73.864992,40.682128
96 STREET and PARK LA SOUTH,-73.849932,40.698089
97 AVENUE and DREW STREET,-73.863786,40.681114
ELDERTS LANE and JAMAICA AVENUE,-73.868057,40.691184
GROSVENOR ROAD and PARK LA SOUTH,-73.837811,40.706988
150 STREET and SHORE AVENUE,-73.800513,40.693768
55 AVENUE and 69 PLACE,-73.894524,40.727837
58 AVENUE and 68 STREET,-73.895818,40.724243
58 ROAD and QUEENS MIDTOWN EXPRESSWAY,-73.890393,40.725681
59 AVENUE and FRESH PD ROAD,-73.902496,40.719407
60 LANE and METRO AVENUE,-73.902935,40.712787
62 AVENUE and FRESH PD ROAD,-73.900939,40.713842
67 AVENUE and FRESH PD ROAD,-73.896572,40.705766
70 AVENUE and FRESH PD ROAD,-73.895203,40.702591
72 STREET and JUNIPER BLVD SOUTH,-73.883419,40.717901
73 PLACE and METRO AVENUE,-73.879341,40.712726
79 AVENUE and SAINT FELIX AVENUE,-73.89954,40.694284
COOPER AVENUE and IRVING AVENUE,-73.902788,40.692418
CORNELIA STREET and WYCKOFF AVENUE,-73.908024,40.697824
CYPRESS AVENUE and DE KALB AVENUE,-73.916996,40.706501
CYPRESS AVENUE and FLUSHING AVENUE,-73.921891,40.709395
CYPRESS AVENUE and GREENE AVENUE,-73.913291,40.704311
CYPRESS AVENUE and HARMAN STREET,-73.91403,40.704748
CYPRESS AVENUE and HART STREET,-73.917735,40.706941
CYPRESS AVENUE and STOCKHOLM STREET,-73.916254,40.706064
CYPRESS AVENUE and SUYDAM STREET,-73.918477,40.707381
CYPRESS AVENUE and TROUTMAN STREET,-73.920701,40.708694
CYPRESS AVENUE and WILLOUGHBY AVENUE,-73.91922,40.707815
FLUSHING AVENUE and FRESH PD ROAD,-73.903117,40.721628
GATES AVENUE and SAINT NICHOLAS AVENUE,-73.910677,40.701045
GEORGE STREET and WYCKOFF AVENUE,-73.904665,40.695933
HAMILTON PLACE and LONG ISLAND EXPRESSWAY,-73.899756,40.725758
HANCOCK STREET and WYCKOFF AVENUE,-73.906845,40.697164
JEFFERSON AVENUE and WYCKOFF AVENUE,-73.90757,40.697571
MAZEAU STREET and QUEENS MIDTOWN EXPRESSWAY,-73.890396,40.726398
MENAHAN STREET and SAINT JOHNS ROAD,-73.908011,40.707153
METRO AVENUE and MOUNT OLIVET CRESCENT,-73.895025,40.712478
METRO AVENUE and MT OLIVET CRESCENT,-73.895025,40.712478
MYRTLE AVENUE and PALMETTO STREET,-73.911036,40.699531
MYRTLE AVENUE and WYCKOFF AVENUE,-73.911036,40.699531
PALMETTO STREET and WYCKOFF AVENUE,-73.911036,40.699531
SUMMERFIELD AVENUE and WYCKOFF AVENUE,-73.90251,40.694693
128 ROAD and HOOK CREEK BOULEVARD,-73.725753,40.680944
132 AVENUE and HOOK CREEK BOULEVARD,-73.72714,40.675096
132 AVENUE and HOOKCREEK BOULEVARD,-73.72714,40.675096
134 ROAD and HOOKCREEK BOULEVARD,-73.728314,40.670885
145 DRIVE and BREWER BOULEVARD,-73.769063,40.664724
148 AVENUE and HOOKCREEK BOULEVARD,-73.726386,40.65492
238 STREET and HILLSIDE AVENUE,-73.749122,40.772179
239 STREET and JAMAICA AVENUE,-73.728162,40.723085
246 STREET and JAMAICA AVENUE,-73.722043,40.725011
246 STREET and LEWIS BOULEVARD,-73.734526,40.664356
249 STREET and JAMAICA AVENUE,-73.715878,40.726541
250 STREET and JAMAICA AVENUE,-73.714968,40.726646
256 STREET and JAMAICA AVENUE,-73.708571,40.727635
257 STREET and JAMAICA AVENUE,-73.707661,40.72783
77 AVENUE and HEWLETT AVENUE,-73.70361,40.753557
77 ROAD and HEWLETT STREET,-73.702734,40.75325
91 AVENUE and JAMAICA AVENUE,-73.720385,40.725474
BRADDOCK AVENUE and JAMAICA AVENUE,-73.723152,40.724734
BROOKVILLE BOULEVARD and HOOKCREEK BOULEVARD,-73.725862,40.683242
COMMONWEALTH BOULEVARD and JAMAICA AVENUE,-73.718286,40.726039
EAST WILLISTON AVENUE and HILLSIDE AVENUE,-73.700983,40.738896
HOOK CREEK BOULEVARD and MERRICK BOULEVARD,-73.727554,40.674161
HOOK CREEK BOULEVARD and STEPHANIE DRIVE,-73.726196,40.67738
HOOKCREEK BOULEVARD and MERRICK BOULEVARD,-73.727554,40.674161
SOUTHERN PARKWAY and SPRINGFIELD BOULEVARD,-73.757957,40.665956
156 AVENUE and 76 STREET,-73.857096,40.661851
CENTERVILLE STREET and NORTH CONDUIT AVENUE,-73.839279,40.668201
CENTERVILLE STREET and PLATTWOOD AVENUE,-73.834264,40.678728
167 STREET and GRAND CENTRAL PARKWAY,-73.799184,40.717225
71 AVENUE and PARK AVENUE,-73.808994,40.730365
71 AVENUE and SUTTON PLACE,-73.80807,40.730396
73 AVENUE and HOLLIS COURT,-73.767933,40.737884
84 ROAD and MANTON STREET,-73.819123,40.710215
86 DRIVE and GRAND CENTRAL PARKWAY,-73.758337,40.725074
DANIEL STREET and GRAND CENTRAL PARKWAY,-73.815237,40.715652
HOLLIS COURT BOULEVARD and UNION TURNPIKE,-73.7637,40.732863
25 STREET and 42 ROAD,-73.941282,40.74982
30 STREET and 49 AVENUE,-73.938198,40.740544
36 STREET and HUNTERSPT AVENUE,-73.930237,40.737674
39 STREET and HUNTERSPOINT AVENUE,-73.927636,40.736596
45 AVENUE and COURT SQUARE,-73.943765,40.74658
49 AVENUE and VAN DAM STREET,-73.934576,40.739675
52 STREET and QNS BOULEVARD,-73.912891,40.742482
70 STREET and BROADWAY,-73.895275,40.748316
70 STREET and QUEENS BLVD,-73.894231,40.739966
GREENPOINT AVENUE and LONG ISLAND EXPRESSWAY,-73.931194,40.736997
122 STREET and 7 AVENUE,-73.845498,40.790831
124 STREET and 31 ROAD,-73.844728,40.767849
14 AVENUE and 144 STREET,-73.824451,40.786731
14 ROAD and 150 STREET,-73.813408,40.787754
15 AVENUE and 150 STREET,-73.813421,40.786977
163 PLACE and PIGEON MEADOW ROAD,-73.80338,40.750996
164 STREET and PIGEON MEADOW ROAD,-73.803006,40.750507
18 AVENUE and 21 STREET,-73.911485,40.785011
HIGGINS STREET and WHITESTONE EXPRESSWAY E SVC RD,-73.836918,40.768164
ROOSEVELT AVENUE and VANWYCK EXPRESSWAY,-73.838671,40.75702
79 STREET and BROADWAY,-73.886118,40.744416
205 STREET and 56 AVENUE,-73.77301,40.748396
205 STREET and HORACE HARDING EXPRESSWAY,-73.771515,40.745516
206 STREET and 34 AVENUE,-73.782531,40.768237
207 STREET and 33 AVENUE,-73.78236,40.76982
223 STREET and GRAND CENTRAL PARKWAY NORTH SR,-73.746616,40.733393
240 STREET and 43 AVENUE,-73.746909,40.767425
28 ROAD and KENNEDY STREET,-73.781424,40.77449
45 DRIVE and CLEARVIEW EXPRESSWAY,-73.777238,40.756635
MARATHON PARKWAY and VANZANDT AVENUE,-73.734344,40.7635
113 STREET and 78 AVENUE,-73.831383,40.715759
62 DRIVE and GRND CNTRL PARKWAY SR WEST,-73.846055,40.737098
67 ROAD and GRND CNTRL PARKWAY SR WEST,-73.841468,40.729997
72 ROAD and GRAND CENTRAL PARKWAY,-73.835964,40.721678
78 AVENUE and GRAND CENTRAL PARKWAY,-73.830729,40.71626
GREENWAY SOUTH and NORDEN ROAD,-73.840185,40.711358
114 AVENUE and 196 STREET,-73.758244,40.699083
150 STREET and SOUTHERN PARKWAY,-73.789482,40.666366
181 STREET and NORTH CONDUIT BOULEVARD,-73.763756,40.667093
BREWER BOULEVARD and PHROANE AVENUE,-73.786554,40.690147
NORTH CONDUIT BOULEVARD and ROCKAWAY BOULEVARD,-73.780625,40.667522
31 STREET and GRAND CENTRAL PARKWAY,-73.917505,40.770561
73 STREET and ASTORIA BOULEVARD,-73.895957,40.766904
37 AVENUE and 70 STREET,-73.895311,40.748591
70 STREET and BROADWAY,-73.895275,40.748316
90 STREET and GCP,-73.880289,40.76942
92 STREET and GCP,-73.878526,40.770049
BQE and BROADWAY,-73.896242,40.748718
ARNPRIOR STREET and RIEGELMANN STREET,-74.14321,40.623739
BARD AVENUE and SAINT AUSTINS PLACE,-74.107054,40.637192
BAY STREET and SAINT JULIAN PLACE,-74.07517,40.634165
CASTLETON AVENUE and HARBORVIEW COURT,-74.092521,40.633326
CHARLES AVENUE and SAINT JOSEPH AVENUE,-74.141628,40.635061
CIRCLE LOOP and MOSEL AVENUE,-74.077733,40.613567
COLLEGE AVENUE and WOOLEY AVENUE,-74.138365,40.621736
DERUYTER PLACE and MAPLE PARKWAY,-74.156449,40.631369
EAST BUCHANAN STREET and NORTHVIEW COURT,-74.088795,40.64424
FAIRWAY AVENUE and KIMBERLY LANE,-74.077591,40.618186
FISK AVENUE and WATCHOGUE ROAD,-74.134184,40.615362
FOXHILL TERRACE and HYLAN BOULEVARD,-74.072339,40.610932
HYATT STREET and ST MARK PLACE,-74.077899,40.641585
LAFORGE AVENUE and PORT RICHMOND AVENUE,-74.139288,40.630743
LAGUNA LANE and VAN PELT AVENUE,-74.154867,40.635834
LEONARD AVENUE and SAINT JOHN AVENUE,-74.134945,40.617845
MAXIE COURT and VANDUZER STREET,-74.085487,40.621653
NICHOLAS AVENUE and PORT LANE,-74.139409,40.638634
PAXTON STREET and SAINT PAULS AVENUE,-74.078992,40.633191
PORT RICHMOND AVENUE and RUMPLER COURT,-74.143016,40.625672
REGIS DRIVE and RICHMOND AVENUE,-74.154791,40.618838
SKY LANE and SKYLINE DRIVE,-74.077731,40.614472
SLOSSEN AVENUE and VICTORY BOULEVARD,-74.116841,40.613525
VANTUYL STREET and YORK AVENUE,-74.088236,40.638399
AKRON STREET and JENNIFER PLACE,-74.157778,40.611346
AMHERST STREET and GUYON AVENUE,-74.116442,40.55821
ARLENE STREET and SIERRA COURT,-74.166325,40.604261
ARTHUR KILL ROAD and LENNON COURT,-74.161931,40.561111
ASCOT AVENUE and ST ANDREWS ROAD,-74.134779,40.574807
CAPODANNO BOULEVARD and NAUGHTON AVENUE,-74.08079,40.577048
CAPODANNO BOULEVARD and SEAGATE COURT,-74.063361,40.592907
CONGER STREET and MCCLEAN AVENUE,-74.066264,40.59811
CORBIN AVENUE and WILLOW WOOD LANE,-74.144618,40.558718
CORONA AVENUE and FULLER COURT,-74.140485,40.562994
CORONA AVENUE and GARTH COURT,-74.141303,40.563391
DANNY COURT and MERRILL AVENUE,-74.161495,40.609963
DAWSON STREET and WOOLEY AVENUE,-74.140605,40.604468
EAST ENTRY ROAD and FLAGG PLACE,-74.102843,40.589159
EAST SERVICE ROAD and VICTORY BOULEVARD,-74.192938,40.59038
EXECUTIVE WAY and FOREST HILL ROAD,-74.144541,40.592631
FATHER CAPODANNO BOULEVARD and LINCOLN AVENUE,-74.091069,40.569928
FATHER CAPODANNO BOULEVARD and SEAVER AVENUE,-74.082905,40.575836
FATHER CAPODANNO BOULEVARD and SEAVIEW AVENUE,-74.077801,40.579251
FINGERBOARD ROAD and MARIE STREET,-74.084573,40.601822
FINGERBOARD ROAD and STEUBEN STREET,-74.076437,40.601002
FINGERBOARD ROAD and TARGEE STREET,-74.091721,40.59922
FRANCIS PLACE and KEUNE COURT,-74.099545,40.600797
GLENN STREET and WILD AVENUE,-74.192096,40.593107
JUSTIN AVENUE and OGORMAN AVENUE,-74.134698,40.555777
LONDON ROAD and RIGBY STREET,-74.143465,40.576525
LOTT LANE and PLATINUM AVENUE,-74.163062,40.57606
MARSH AVENUE and STATEN ISLAND MALL DRIVE,-74.16348,40.579282
NORTHPORT LANE and WESTPORT STREET,-74.160438,40.583738
RICHMOND ROAD and SOPHIA LANE,-74.098067,40.594881
RIDGEWAY AVENUE and VICTORY BOULEVARD,-74.183811,40.595852
ROOSEVELT AVENUE and ROOSEVELT COURT,-74.132869,40.604475
ROSE AVENUE and THIRD STREET,-74.119191,40.574094
SHELLY AVENUE and VICTORY BOULEVARD,-74.188818,40.592794
TARGEE STREET and VENICE STREET,-74.091344,40.602424
TODT HILL ROAD and VALLEY VIEW PLACE,-74.115676,40.606132
ARTHUR KILL ROAD and TYRELL STREET,-74.24899,40.512882
CHARLESTON AVENUE and HEMLOCK COURT,-74.215726,40.549406
CODY PLACE and COUNTRY LANE,-74.201444,40.553909
DAWN COURT and PAGE AVENUE,-74.23064,40.509413
HAMPTON PLACE and MEADOW COURT,-74.214112,40.548534
HYLAN BOULEVARD and PHILLIP AVENUE,-74.175733,40.526761
